xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.8,0.05,0.001,20.0,all_measurable,gaussian_radial,5,865608729.8734287,32.06135152594819,28.62181447033551,0.65992570175657,0.11667514874018829,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.05,0.001,20.0,freq_only,pocket,3,65156.351307637575,7.93927061812953,4.049646988320462,2.5724072730829217,4.531274064978626,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.05,0.001,20.0,freq_plus_splitting,pocket,6,368944.96050122404,9.210486745992137,7.160042949479636,2.2694110966126084,2.269839146197643,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.05,0.003,20.0,default_m0_3,gaussian_radial,4,2052150.3898351863,7.569391867099769,25.002452667094634,2.795017160237547,0.57931787438796,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.05,0.003,20.0,d_optimal_4,gaussian_radial,4,7851925.130673985,9.227689823070941,32.908046268788205,2.2928236025865156,0.3695699840666887,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.05,0.003,20.0,all_measurable,gaussian_radial,5,10686527.529301574,10.687117175316063,28.621814470335515,1.97977710526971,0.35002544622056486,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.05,0.003,20.0,freq_only,pocket,3,804.399398859722,2.646423539376511,4.049646988320459,7.717221819248768,13.593822194935882,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.05,0.003,20.0,freq_plus_splitting,pocket,6,4554.876055570669,3.070162248664046,7.160042949479633,6.808233289837825,6.80951743859293,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.95,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,2875827007.5980425,12.90582340123276,321.9659486469247,1.637608442382535,0.3796659598126983,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.95,0.01,0.0001,20.0,d_optimal_4,gaussian_radial,4,14133378986.139772,16.655114785419787,428.5758962775864,1.2691270888466104,0.2774283507180474,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.95,0.01,0.0001,20.0,all_measurable,gaussian_radial,5,17961398565.884525,18.701847002168112,383.17844927265224,1.1302283093951269,0.24769344538874885,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
