xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.8,0.01,0.003,20.0,all_measurable,gaussian_radial,5,1801266.949929343,7.828466059032595,21.899575384113174,2.702827486711735,0.5964550647499944,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.01,0.003,20.0,freq_only,pocket,3,31.206451479869475,0.5988165185841654,15.578823235944682,35.299525057535654,13.1539686794689,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.8,0.01,0.003,20.0,freq_plus_splitting,pocket,6,161.4722824513341,0.6405325116566117,30.971813513518473,33.02024426144136,6.8700265405920735,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.05,0.0001,20.0,default_m0_3,gaussian_radial,4,12062237907923.49,857.8786245298509,4.71913337052663,0.024113527849659654,0.03480608802427251,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.05,0.0001,20.0,d_optimal_4,gaussian_radial,4,25759859596222.36,1031.961389256324,4.765899157316654,0.020487673517164084,0.02071107046110853,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.0001,20.0,all_measurable,gaussian_radial,5,38209324199315.195,1189.6917975705953,4.3673273321176085,0.017728934425215347,0.020390760453549064,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.0001,20.0,freq_only,pocket,3,651563513.0763763,79.39270618129531,4.049646988320462,0.25724072730829217,0.4531274064978626,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.8,0.05,0.0001,20.0,freq_plus_splitting,pocket,6,3689449605.0122504,92.10486745992135,7.160042949479637,0.22694110966126071,0.22698391461976425,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.05,0.0003,20.0,default_m0_3,gaussian_radial,4,148916517381.77185,285.9595415099503,4.719133370526631,0.07234058354897896,0.10441826407281753,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.05,0.0003,20.0,d_optimal_4,gaussian_radial,4,318022957978.05457,343.98712975210805,4.765899157316654,0.06146302055149225,0.06213321138332558,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.0003,20.0,all_measurable,gaussian_radial,5,471720051843.3986,396.56393252353183,4.3673273321176085,0.05318680327564603,0.06117228136064718,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.0003,20.0,freq_only,pocket,3,8043993.988597228,26.464235393765108,4.04964698832046,0.7717221819248766,1.359382219493588,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
