block,p_depth_frac,t_f_mm,s_mm,t_f_over_s,d_K_asbuilt,d_K_thin_face,d_K_first_order,dK_asbuilt_over_thin,dK_asbuilt_over_first_order,d_M,zeta_asbuilt,zeta_thin_face,d_K_monolithic,d_M_monolithic,zeta_monolithic,d_K_sandwich,d_M_sandwich,zeta_sandwich,d_M_asbuilt,dK_ratio_mono_over_sw,dK_ratio_mono_over_asbuilt,d_K,dM_ratio_sw_over_mono,dM_ratio_asbuilt_over_mono,dM_ratio_asbuilt_over_sw,law,m,n,xi_star,r_star_mm,xi_d,s_bar,sigma_rel,cond2,det_F,crlb_xi_mm,crlb_s_pp,crlb_xi_ratio_sw_over_mono,crlb_s_ratio_sw_over_mono,cond2_ratio_sw_over_mono,crlb_xi_ratio_asbuilt_over_mono,crlb_s_ratio_asbuilt_over_mono,cond2_ratio_asbuilt_over_mono,abs_err_over_floor_max,abs_err_over_floor_m0,worst_mode,d_K_local_target,depth_mm_monolithic,depth_mm_sandwich,depth_mm_asbuilt,depth_ratio_sw_over_mono,depth_ratio_asbuilt_over_mono
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.8,0.05,0.001,14.336293805128323,4298301735.854481,0.3052951863613816,0.3401195450960857,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.05,0.001,,,,,1.274682867686203,1.003449207175319,3.4146700429799752,1.2678592211000503,1.0181553763216076,2.7304335211054127,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.95,0.01,0.001,85.21748574072843,7188135.007867872,3.7709658182473227,0.5453775379548995,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.95,0.01,0.001,414.5412862026393,48393379.948592626,5.16254795579615,0.811725196845918,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.95,0.01,0.001,272.02212131021145,27188829.938073605,4.830665070921416,0.7204478055759987,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.01,0.001,,,,,1.3690253915363277,1.4883729900021008,4.864509702432061,1.2810153429517488,1.321007477274535,3.192092784077558,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.95,0.05,0.001,18.542156100951,262807316.191239,0.7095004786349768,0.4777577867058891,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.95,0.05,0.001,88.11106282104181,371031706.5924238,1.4073072149913948,1.2312234167040301,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.95,0.05,0.001,55.20224570646201,473724013.9250861,1.0517247147808457,0.8164698654953333,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.05,0.001,,,,,1.9835183447641125,2.5770870741704512,4.751931886525468,1.4823453210409125,1.7089619221590158,2.977121182990729,,,,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.2,0.01,,,,,,,,,,,,0.06759711407253524,0.06759711407253524,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.2,0.01,,,,,,,,,,,,0.06966341062852356,0.06966341062852356,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.2,0.01,,,,,,,,,,,,0.06878449917098982,0.06878449917098982,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.2,0.05,,,,,,,,,,,,1.8259086247339393,1.8259086247339393,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.2,0.05,,,,,,,,,,,,1.8729153095036268,1.8729153095036268,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.2,0.05,,,,,,,,,,,,1.8547263447574112,1.8547263447574112,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.5,0.01,,,,,,,,,,,,0.04457324316315455,0.04457324316315455,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.5,0.01,,,,,,,,,,,,0.05036635805018936,0.05036635805018936,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.5,0.01,,,,,,,,,,,,0.04908498352923095,0.04908498352923095,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.5,0.05,,,,,,,,,,,,1.2442726644905124,1.2442726644905124,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.5,0.05,,,,,,,,,,,,1.4044383494353374,1.4044383494353374,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.5,0.05,,,,,,,,,,,,1.3650006336377636,1.3650006336377636,0.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.8,0.01,,,,,,,,,,,,0.018580385765447176,0.01330030869764031,3.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.8,0.01,,,,,,,,,,,,0.18447975608779607,0.18358443899261362,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.8,0.01,,,,,,,,,,,,0.08955534662868046,0.08904209345036734,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.8,0.05,,,,,,,,,,,,0.47311029516000286,0.3798730779481091,3.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.8,0.05,,,,,,,,,,,,3.956088034582049,3.935183581487825,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.8,0.05,,,,,,,,,,,,2.2015847052747546,2.1889769423050347,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.95,0.01,,,,,,,,,,,,0.021392109806900404,0.020602954725335455,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.95,0.01,,,,,,,,,,,,0.20384890169558925,0.2007038240898328,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.95,0.01,,,,,,,,,,,,0.10429625554611316,0.10218952331743358,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.95,0.05,,,,,,,,,,,,0.6144883128479072,0.5925959680145951,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.95,0.05,,,,,,,,,,,,4.2961068533006115,4.222281736518736,1.0,,,,,,
linearization,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.95,0.05,,,,,,,,,,,,2.564733337349752,2.510822267477106,1.0,,,,,,
machining_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.033904855016883007,0.09523809523809525,0.06991200593614352,2.8089810497839087,2.0620057481835765
machining_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.06902123078874056,0.1818181818181818,0.13797378564058654,2.6342355785379854,1.999005002720036
machining_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.10546352562818084,0.2608695652173913,0.2040753441662067,2.473552478580182,1.9350324479544598
machining_depth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.18287940716786033,0.4,0.3300465275436143,2.1872336869117817,1.8047222082291257
