config,n_vane,vane_mode,vane_arc_cells,modulation_depth,wrap_deg,n_theta,n_r,n_dof,mode,rigid,f_Hz,c_rotation,h_index,h_index_raw,deg_protected,m_dominant,m_share,alias_orders,alias_share,psi_deg,purity
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,3,True,0.013754682898962265,0.6023430345934124,1,0.5884678879193831,2,1,0.5139130803386566,1|3|5|7|9|11,0.5139130803398168,91.90321397911252,0.5139130803386566
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,4,True,0.01474855353769636,0.05102018807552377,1,0.9675054315201675,2,1,0.8482020897247803,1|3|5|7|9|11,0.8482020897261527,18.5587590468658,0.8482020897247803
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,5,True,0.01724321078815007,0.34839670306829673,1,0.7734524263467212,2,1,0.6402175874991535,1|3|5|7|9|11,0.6402175875002666,118.41479636174117,0.6402175874991535
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,6,False,2303.080016166983,-1.0,2,2.0,1,2,0.9466914205214154,2|6|10,0.9999999999509679,35.99512204560878,0.9466914205214154
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,7,False,3828.9754160235625,-1.0,2,2.0,1,2,0.8892378953727629,2|6|10,0.9999999999586595,83.9495331207432,0.8892378953727629
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,8,False,4609.543109781889,6.0715321659188194e-18,1,1.0,2,3,0.5859204294301006,1|3|5|7|9|11,0.9999999997677836,56.04159972833554,0.5859204294301006
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,9,False,4609.543109867237,-6.071532165918826e-18,1,1.0,2,3,0.585920429582843,1|3|5|7|9|11,0.9999999999147011,26.041599730639188,0.585920429582843
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,10,False,5060.240817242333,-1.0,2,2.0,1,2,0.7904838918916662,2|6|10,0.9999999964529679,86.65385730501485,0.7904838918916662
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,11,False,5093.935009665171,2.602085213965215e-18,1,1.0,2,1,0.4159272802429169,1|3|5|7|9|11,0.9999999979341067,88.40559021595244,0.4159272802429169
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,12,False,5093.9350097004,-6.071532165918826e-18,1,1.0,2,1,0.41592728098967346,1|3|5|7|9|11,0.9999999997268723,178.40559021944466,0.41592728098967346
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,13,False,5128.957060118502,0.9999999999999998,0,1.3415758552508148e-08,1,4,0.5169232710016394,0|4|8|12,0.9999999975892624,44.69372632386371,0.5169232710016394
